,month_normalized,time_idx,value,static,date
596,11,42,257.79,2,2014-08-20
597,11,43,266.84,2,2014-08-21
598,11,44,262.17,2,2014-08-22
599,11,45,260.03,2,2014-08-23
600,11,46,262.39,2,2014-08-24
601,11,47,262.23,2,2014-08-25
602,11,48,259.91,2,2014-08-26
603,11,49,263.29,2,2014-08-27
604,11,50,265.24,2,2014-08-28
605,11,51,269.27,2,2014-08-29
606,11,52,270.26,2,2014-08-30
607,11,53,265.83,2,2014-08-31
608,11,54,268.8,2,2014-09-01
609,12,0,268.27,2,2014-09-02
610,12,1,267.36,2,2014-09-03
611,12,2,256.07,2,2014-09-04
612,12,3,255.43,2,2014-09-05
613,12,4,256.66,2,2014-09-06
614,12,5,256.27,2,2014-09-07
615,12,6,260.73,2,2014-09-08
616,12,7,263.64,2,2014-09-09
617,12,8,260.91,2,2014-09-10
618,12,9,254.84,2,2014-09-11
619,12,10,260.87,2,2014-09-12
620,12,11,256.9,2,2014-09-13
621,12,12,255.27,2,2014-09-14
622,12,13,256.22,2,2014-09-15
623,12,14,265.27,2,2014-09-16
624,12,15,263.73,2,2014-09-17
625,12,16,271.61,2,2014-09-18
626,12,17,269.28,2,2014-09-19
627,12,18,270.69,2,2014-09-20
628,12,19,265.78,2,2014-09-21
629,12,20,268.06,2,2014-09-22
630,12,21,265.42,2,2014-09-23
631,12,22,261.56,2,2014-09-24
632,12,23,269.34,2,2014-09-25
633,12,24,271.04,2,2014-09-26
634,12,25,271.82,2,2014-09-27
635,12,26,272.26,2,2014-09-28
636,12,27,270.98,2,2014-09-29
637,12,28,270.5,2,2014-09-30
638,12,29,270.57,2,2014-10-01
639,12,30,271.47,2,2014-10-02
640,12,31,279.22,2,2014-10-03
641,12,32,273.54,2,2014-10-04
642,12,33,273.14,2,2014-10-05
643,12,34,264.7,2,2014-10-06
644,12,35,267.68,2,2014-10-07
645,12,36,264.8,2,2014-10-08
646,12,37,273.54,2,2014-10-09
647,12,38,274.33,2,2014-10-10
648,12,39,274.01,2,2014-10-11
649,12,40,260.87,2,2014-10-12
650,12,41,258.17,2,2014-10-13
651,12,42,261.49,2,2014-10-14
652,12,43,260.75,2,2014-10-15
653,12,44,260.25,2,2014-10-16
654,12,45,275.73,2,2014-10-17
655,12,46,275.6,2,2014-10-18
656,12,47,276.69,2,2014-10-19
657,12,48,277.96,2,2014-10-20
658,12,49,277.34,2,2014-10-21
659,12,50,272.56,2,2014-10-22
660,12,51,271.75,2,2014-10-23
661,12,52,267.36,2,2014-10-24
662,12,53,274.96,2,2014-10-25
663,12,54,275.8,2,2014-10-26
664,13,0,274.45,2,2014-10-27
665,13,1,267.82,2,2014-10-28
666,13,2,274.72,2,2014-10-29
667,13,3,274.22,2,2014-10-30
668,13,4,274.58,2,2014-10-31
669,13,5,277.69,2,2014-11-01
670,13,6,276.81,2,2014-11-02
671,13,7,269.59,2,2014-11-03
672,13,8,265.04,2,2014-11-04
673,13,9,271.52,2,2014-11-05
674,13,10,269.86,2,2014-11-06
675,13,11,272.43,2,2014-11-07
676,13,12,269.07,2,2014-11-08
677,13,13,274.95,2,2014-11-09
678,13,14,273.8,2,2014-11-10
679,13,15,272.07,2,2014-11-11
680,13,16,271.0,2,2014-11-12
681,13,17,272.11,2,2014-11-13
682,13,18,272.89,2,2014-11-14
683,13,19,273.04,2,2014-11-15
684,13,20,271.66,2,2014-11-16
685,13,21,274.26,2,2014-11-17
686,13,22,275.21,2,2014-11-18
687,13,23,279.09,2,2014-11-19
688,13,24,278.81,2,2014-11-20
689,13,25,275.9,2,2014-11-21
690,13,26,276.87,2,2014-11-22
691,13,27,267.38,2,2014-11-23
692,13,28,266.08,2,2014-11-24
693,13,29,276.08,2,2014-11-25
694,13,30,279.4,2,2014-11-26
695,13,31,275.72,2,2014-11-27
696,13,32,277.39,2,2014-11-28
697,13,33,277.92,2,2014-11-29
